Date,Day,Tag,Country,Value
2014-10-14,206,Cases,Senegal,1
2014-10-14,206,Cases,SierraLeone,3410
2014-10-14,206,Cases,Spain,1
2014-10-14,206,Cases,UnitedStates,3
2014-10-14,206,Deaths,Guinea,862
2014-10-14,206,Deaths,Liberia,0
2014-10-14,206,Deaths,Mali,0
2014-10-14,206,Deaths,Nigeria,8
2014-10-14,206,Deaths,Senegal,0
2014-10-14,206,Deaths,SierraLeone,1200
2014-10-14,206,Deaths,Spain,1
2014-10-14,206,Deaths,UnitedStates,0
2014-10-18,210,Cases,Guinea,0
2014-10-18,210,Cases,Liberia,4665
2014-10-18,210,Cases,Mali,0
2014-10-18,210,Cases,Nigeria,0
2014-10-18,210,Cases,Senegal,0
2014-10-18,210,Cases,SierraLeone,0
2014-10-18,210,Cases,Spain,0
2014-10-18,210,Cases,UnitedStates,0
2014-10-18,210,Deaths,Guinea,0
2014-10-18,210,Deaths,Liberia,2705
2014-10-18,210,Deaths,Mali,0
2014-10-18,210,Deaths,Nigeria,0
2014-10-18,210,Deaths,Senegal,0
2014-10-18,210,Deaths,SierraLeone,0
2014-10-18,210,Deaths,Spain,0
2014-10-18,210,Deaths,UnitedStates,0
2014-10-19,211,Cases,Guinea,1540
2014-10-19,211,Cases,Liberia,0
2014-10-19,211,Cases,Mali,0
2014-10-19,211,Cases,Nigeria,20
2014-10-19,211,Cases,Senegal,1
2014-10-19,211,Cases,SierraLeone,3706
2014-10-19,211,Cases,Spain,1
2014-10-19,211,Cases,UnitedStates,3
2014-10-19,211,Deaths,Guinea,904
2014-10-19,211,Deaths,Liberia,0
2014-10-19,211,Deaths,Mali,0
2014-10-19,211,Deaths,Nigeria,8
2014-10-19,211,Deaths,Senegal,0
2014-10-19,211,Deaths,SierraLeone,1259
2014-10-19,211,Deaths,Spain,0
2014-10-19,211,Deaths,UnitedStates,1
2014-10-21,213,Cases,Guinea,1553
2014-10-21,213,Cases,Liberia,0
2014-10-21,213,Cases,Mali,0
2014-10-21,213,Cases,Nigeria,0
2014-10-21,213,Cases,Senegal,0
2014-10-21,213,Cases,SierraLeone,0
2014-10-21,213,Cases,Spain,0
2014-10-21,213,Cases,UnitedStates,0
2014-10-21,213,Deaths,Guinea,926
2014-10-21,213,Deaths,Liberia,0
2014-10-21,213,Deaths,Mali,0
2014-10-21,213,Deaths,Nigeria,0
2014-10-21,213,Deaths,Senegal,0
2014-10-21,213,Deaths,SierraLeone,0
2014-10-21,213,Deaths,Spain,0
2014-10-21,213,Deaths,UnitedStates,0
2014-10-22,214,Cases,Guinea,0
2014-10-22,214,Cases,Liberia,0
2014-10-22,214,Cases,Mali,1
2014-10-22,214,Cases,Nigeria,0
2014-10-22,214,Cases,Senegal,0
2014-10-22,214,Cases,SierraLeone,3896
2014-10-22,214,Cases,Spain,1
2014-10-22,214,Cases,UnitedStates,4
2014-10-22,214,Deaths,Guinea,0
2014-10-22,214,Deaths,Liberia,0
2014-10-22,214,Deaths,Mali,1
2014-10-22,214,Deaths,Nigeria,0
2014-10-22,214,Deaths,Senegal,0
2014-10-22,214,Deaths,SierraLeone,1281
2014-10-22,214,Deaths,Spain,0
2014-10-22,214,Deaths,UnitedStates,1
2014-10-25,216,Cases,Guinea,0
2014-10-25,216,Cases,Liberia,6535
2014-10-25,216,Cases,Mali,0
2014-10-25,216,Cases,Nigeria,0
2014-10-25,216,Cases,Senegal,0
2014-10-25,216,Cases,SierraLeone,0
2014-10-25,216,Cases,Spain,0
2014-10-25,216,Cases,UnitedStates,0
2014-10-25,216,Deaths,Guinea,0
2014-10-25,216,Deaths,Liberia,2413
2014-10-25,216,Deaths,Mali,0
2014-10-25,216,Deaths,Nigeria,0
2014-10-25,216,Deaths,Senegal,0
2014-10-25,216,Deaths,SierraLeone,0
2014-10-25,216,Deaths,Spain,0
2014-10-25,216,Deaths,UnitedStates,0
2014-10-27,218,Cases,Guinea,1906
2014-10-27,218,Cases,Liberia,0
2014-10-27,218,Cases,Mali,1
2014-10-27,218,Cases,Nigeria,20
2014-10-27,218,Cases,Senegal,1
2014-10-27,218,Cases,SierraLeone,5235
2014-10-27,218,Cases,Spain,1
2014-10-27,218,Cases,UnitedStates,4
2014-10-27,218,Deaths,Guinea,997
2014-10-27,218,Deaths,Liberia,0
2014-10-27,218,Deaths,Mali,1
2014-10-27,218,Deaths,Nigeria,8
2014-10-27,218,Deaths,Senegal,0
2014-10-27,218,Deaths,SierraLeone,1500
2014-10-27,218,Deaths,Spain,0
2014-10-27,218,Deaths,UnitedStates,1
2014-10-29,220,Cases,Guinea,1667
2014-10-29,220,Cases,Liberia,0
2014-10-29,220,Cases,Mali,1
2014-10-29,220,Cases,Nigeria,20
2014-10-29,220,Cases,Senegal,1
2014-10-29,220,Cases,SierraLeone,5338
2014-10-29,220,Cases,Spain,1
2014-10-29,220,Cases,UnitedStates,4
2014-10-29,220,Deaths,Guinea,1018
2014-10-29,220,Deaths,Liberia,0
2014-10-29,220,Deaths,Mali,1
2014-10-29,220,Deaths,Nigeria,8
2014-10-29,220,Deaths,Senegal,0
2014-10-29,220,Deaths,SierraLeone,1510
2014-10-29,220,Deaths,Spain,0
2014-10-29,220,Deaths,UnitedStates,1
2014-10-31,222,Cases,Guinea,0
2014-10-31,222,Cases,Liberia,6525
2014-10-31,222,Cases,Mali,0
2014-10-31,222,Cases,Nigeria,0
2014-10-31,222,Cases,Senegal,0
2014-10-31,222,Cases,SierraLeone,0
2014-10-31,222,Cases,Spain,0
2014-10-31,222,Cases,UnitedStates,0
2014-10-31,222,Deaths,Guinea,0
2014-10-31,222,Deaths,Liberia,2697
2014-10-31,222,Deaths,Mali,0
2014-10-31,222,Deaths,Nigeria,0
2014-10-31,222,Deaths,Senegal,0
2014-10-31,222,Deaths,SierraLeone,0
2014-10-31,222,Deaths,Spain,0
2014-10-31,222,Deaths,UnitedStates,0
2014-10-04,196,Cases,Guinea,0
2014-10-04,196,Cases,Liberia,3924
2014-10-04,196,Cases,Mali,0
2014-10-04,196,Cases,Nigeria,0
2014-10-04,196,Cases,Senegal,0
2014-10-04,196,Cases,SierraLeone,0
2014-10-04,196,Cases,Spain,0
2014-10-04,196,Cases,UnitedStates,0
2014-10-04,196,Deaths,Guinea,0
2014-10-04,196,Deaths,Liberia,2210
2014-10-04,196,Deaths,Mali,0
2014-10-04,196,Deaths,Nigeria,0
2014-10-04,196,Deaths,Senegal,0
2014-10-04,196,Deaths,SierraLeone,0
2014-10-04,196,Deaths,Spain,0
2014-10-04,196,Deaths,UnitedStates,0
2014-10-05,197,Cases,Guinea,1298
2014-10-05,197,Cases,Liberia,0
2014-10-05,197,Cases,Mali,0
2014-10-05,197,Cases,Nigeria,20
2014-10-05,197,Cases,Senegal,1
2014-10-05,197,Cases,SierraLeone,2789
2014-10-05,197,Cases,Spain,0
2014-10-05,197,Cases,UnitedStates,1
2014-10-05,197,Deaths,Guinea,768
2014-10-05,197,Deaths,Liberia,0
2014-10-05,197,Deaths,Mali,0
2014-10-05,197,Deaths,Nigeria,8
2014-10-05,197,Deaths,Senegal,0
2014-10-05,197,Deaths,SierraLeone,879
2014-10-05,197,Deaths,Spain,0
2014-10-05,197,Deaths,UnitedStates,0
2014-10-07,199,Cases,Guinea,1350
2014-10-07,199,Cases,Liberia,4076
2014-10-07,199,Cases,Mali,0
2014-10-07,199,Cases,Nigeria,0
2014-10-07,199,Cases,Senegal,0
2014-10-07,199,Cases,SierraLeone,0
2014-10-07,199,Cases,Spain,0
2014-10-07,199,Cases,UnitedStates,0
2014-10-07,199,Deaths,Guinea,778
2014-10-07,199,Deaths,Liberia,2316
2014-10-07,199,Deaths,Mali,0
2014-10-07,199,Deaths,Nigeria,0
2014-10-07,199,Deaths,Senegal,0
2014-10-07,199,Deaths,SierraLeone,0
2014-10-07,199,Deaths,Spain,0
2014-10-07,199,Deaths,UnitedStates,0
2014-10-08,200,Cases,Guinea,0
2014-10-08,200,Cases,Liberia,0
2014-10-08,200,Cases,Mali,0
2014-10-08,200,Cases,Nigeria,20
2014-10-08,200,Cases,Senegal,1
2014-10-08,200,Cases,SierraLeone,2950
2014-10-08,200,Cases,Spain,1
2014-10-08,200,Cases,UnitedStates,1
2014-10-08,200,Deaths,Guinea,0
2014-10-08,200,Deaths,Liberia,0
2014-10-08,200,Deaths,Mali,0
2014-10-08,200,Deaths,Nigeria,8
2014-10-08,200,Deaths,Senegal,0
